행정동코드,행정동명,원본행정동명
11080600,안암동,안암동
11080610,보문동,보문동
11080620,정릉1동,정릉1동
11080630,정릉2동,정릉2동
11080640,정릉3동,정릉3동
11080650,정릉4동,정릉4동
11080660,길음1동,길음1동
11080680,길음2동,길음2동
11080710,월곡1동,월곡1동
11080720,월곡2동,월곡2동
11080760,장위1동,장위1동
11080770,장위2동,장위2동
11080780,장위3동,장위3동
11080810,성북동,성북동
11080820,삼선동,삼선동
11080830,동선동,동선동
11080840,종암동,종암동
11080850,석관동,석관동
11090600,번1동,번1동
11090610,번2동,번2동
11090620,번3동,번3동
11090630,수유1동,수유1동
11090640,수유2동,수유2동
11090650,수유3동,수유3동
11090690,삼양동,삼양동
11090700,미아동,미아동
11090710,송중동,송중동
11090720,송천동,송천동
11090730,삼각산동,삼각산동
11090740,우이동,우이동
11090750,인수동,인수동
11100510,쌍문1동,쌍문1동
11100520,쌍문2동,쌍문2동
11100530,쌍문3동,쌍문3동
11100540,쌍문4동,쌍문4동
11100550,방학1동,방학1동
11100560,방학2동,방학2동
11100570,방학3동,방학3동
11100590,창1동,창1동
11100600,창2동,창2동
11100610,창3동,창3동
11100620,창4동,창4동
11100630,창5동,창5동
11100640,도봉1동,도봉1동
11100650,도봉2동,도봉2동
11110510,월계1동,월계1동
11110520,월계2동,월계2동
11110530,월계3동,월계3동
11110560,공릉2동,공릉2동
11110580,하계1동,하계1동
11110590,하계2동,하계2동
11110600,중계본동,중계본동
11110610,중계1동,중계1동
11110640,중계4동,중계4동
11110650,상계1동,상계1동
11110660,상계2동,상계2동
11110690,상계5동,상계5동
11110720,상계8동,상계8동
11110730,상계9동,상계9동
11110740,상계10동,상계10동
11110760,상계3·4동,상계3·4동
11110770,상계6·7동,상계6·7동
11110780,중계2·3동,중계2·3동
11110790,공릉1동,공릉1동
11120510,녹번동,녹번동
11120520,불광1동,불광1동
11120550,갈현1동,갈현1동
11120560,갈현2동,갈현2동
11120570,구산동,구산동
11120580,대조동,대조동
11120590,응암1동,응암1동
11120600,응암2동,응암2동
11120650,신사1동,신사1동
11120660,신사2동,신사2동
11120670,증산동,증산동
11120680,수색동,수색동
11120710,진관동,진관동
11120720,불광2동,불광2동
11120730,응암3동,응암3동
11120740,역촌동,역촌동
11130520,천연동,천연동
11130620,홍제1동,홍제1동
11130640,홍제3동,홍제3동
11130650,홍제2동,홍제2동
11130660,홍은1동,홍은1동
11130680,홍은2동,홍은2동
11130690,남가좌1동,남가좌1동
11130700,남가좌2동,남가좌2동
11130710,북가좌1동,북가좌1동
11130720,북가좌2동,북가좌2동
11130730,충현동,충현동
11130740,북아현동,북아현동
11130750,신촌동,신촌동
11130760,연희동,연희동
11140590,용강동,용강동
11140600,대흥동,대흥동
11140610,염리동,염리동
11140630,신수동,신수동
11140660,서교동,서교동
11140680,합정동,합정동
11140690,망원1동,망원1동
11140700,망원2동,망원2동
11140710,연남동,연남동
11140720,성산1동,성산1동
11140730,성산2동,성산2동
11140740,상암동,상암동
11140750,도화동,도화동
11140760,서강동,서강동
11140770,공덕동,공덕동
11140780,아현동,아현동
11150510,목1동,목1동
11150520,목2동,목2동
11150530,목3동,목3동
11150540,목4동,목4동
11150570,신월1동,신월1동
11150580,신월2동,신월2동
11150590,신월3동,신월3동
11150600,신월4동,신월4동
11150610,신월5동,신월5동
11150620,신월6동,신월6동
11150630,신월7동,신월7동
11150640,신정1동,신정1동
11150650,신정2동,신정2동
11150660,신정3동,신정3동
11150690,신정6동,신정6동
11150700,신정7동,신정7동
11150710,목5동,목5동
11150720,신정4동,신정4동
11160510,염창동,염창동
11160520,등촌1동,등촌1동
11160530,등촌2동,등촌2동
11160540,등촌3동,등촌3동
11160550,화곡본동,화곡본동
11160570,화곡2동,화곡2동
11160580,화곡3동,화곡3동
11160590,화곡4동,화곡4동
11160610,화곡6동,화곡6동
11160630,화곡8동,화곡8동
11160650,가양2동,가양2동
11160660,가양3동,가양3동
11160670,발산1동,발산1동
11160690,공항동,공항동
11160700,방화1동,방화1동
11160710,방화2동,방화2동
11160730,화곡1동,화곡1동
11160740,우장산동,우장산동
11160751,가양1동,가양1동
11160761,방화3동,방화3동
11170510,신도림동,신도림동
11170520,구로1동,구로1동
11170540,구로3동,구로3동
11170550,구로4동,구로4동
11170560,구로5동,구로5동
11170610,고척1동,고척1동
11170620,고척2동,고척2동
11170640,개봉2동,개봉2동
11170650,개봉3동,개봉3동
11170670,오류1동,오류1동
11170690,수궁동,수궁동
11170700,가리봉동,가리봉동
11170710,구로2동,구로2동
11170720,개봉1동,개봉1동
11170730,오류2동,오류2동
11170740,항동,항동
11180510,가산동,가산동
11180520,독산1동,독산1동
11180530,독산2동,독산2동
11180540,독산3동,독산3동
11180550,독산4동,독산4동
11180570,시흥1동,시흥1동
11180580,시흥2동,시흥2동
11180590,시흥3동,시흥3동
11180600,시흥4동,시흥4동
11180610,시흥5동,시흥5동
11190540,여의동,여의동
11190550,당산1동,당산1동
11190560,당산2동,당산2동
11190610,양평1동,양평1동
11190620,양평2동,양평2동
11190630,신길1동,신길1동
11190650,신길3동,신길3동
11190660,신길4동,신길4동
11190670,신길5동,신길5동
11190680,신길6동,신길6동
11190690,신길7동,신길7동
11190700,대림1동,대림1동
11190710,대림2동,대림2동
11190720,대림3동,대림3동
11190730,영등포본동,영등포본동
11190740,영등포동,영등포동
11190750,도림동,도림동
11190760,문래동,문래동
11200520,노량진2동,노량진2동
11200530,상도1동,상도1동
11200540,상도2동,상도2동
11200550,상도3동,상도3동
11200560,상도4동,상도4동
11200630,사당1동,사당1동
11200650,사당3동,사당3동
11200660,사당4동,사당4동
11200670,사당5동,사당5동
11200680,대방동,대방동
11200690,신대방1동,신대방1동
11200700,신대방2동,신대방2동
11200710,흑석동,흑석동
11200720,노량진1동,노량진1동
11200730,사당2동,사당2동
11210520,보라매동,보라매동
11210540,청림동,청림동
11210570,행운동,행운동
11210580,낙성대동,낙성대동
11210610,중앙동,중앙동
11210620,인헌동,인헌동
11210630,남현동,남현동
11210640,서원동,서원동
11210650,신원동,신원동
11210660,서림동,서림동
11210680,신사동,신사동
11210690,신림동,신림동
11210710,난향동,난향동
11210720,조원동,조원동
11210730,대학동,대학동
11210780,은천동,은천동
11210790,성현동,성현동
11210800,청룡동,청룡동
11210810,난곡동,난곡동
11210820,삼성동,삼성동
11210830,미성동,미성동
11220510,서초1동,서초1동
11220520,서초2동,서초2동
11220530,서초3동,서초3동
11220540,서초4동,서초4동
11220550,잠원동,잠원동
11220560,반포본동,반포본동
11220570,반포1동,반포1동
11220580,반포2동,반포2동
11220590,반포3동,반포3동
11220600,반포4동,반포4동
11220610,방배본동,방배본동
11220620,방배1동,방배1동
11220630,방배2동,방배2동
11220640,방배3동,방배3동
11220650,방배4동,방배4동
11220660,양재1동,양재1동
11220670,양재2동,양재2동
11220680,내곡동,내곡동
11230510,신사동,신사동
11230511,개포3동,개포3동
11230520,논현1동,논현1동
11230530,논현2동,논현2동
11230580,삼성1동,삼성1동
11230590,삼성2동,삼성2동
11230600,대치1동,대치1동
11230630,대치4동,대치4동
11230640,역삼1동,역삼1동
11230650,역삼2동,역삼2동
11230660,도곡1동,도곡1동
11230670,도곡2동,도곡2동
11230680,개포1동,개포1동
11230710,개포4동,개포4동
11230720,일원본동,일원본동
11230730,일원1동,일원1동
11230750,수서동,수서동
11230760,세곡동,세곡동
11230770,압구정동,압구정동
11230780,청담동,청담동
11230790,대치2동,대치2동
11230800,개포2동,개포2동
11240510,풍납1동,풍납1동
11240520,풍납2동,풍납2동
11240530,거여1동,거여1동
11240540,거여2동,거여2동
11240550,마천1동,마천1동
11240560,마천2동,마천2동
11240570,방이1동,방이1동
11240580,방이2동,방이2동
11240590,오륜동,오륜동
11240600,오금동,오금동
11240610,송파1동,송파1동
11240620,송파2동,송파2동
11240630,석촌동,석촌동
11240640,삼전동,삼전동
11240650,가락본동,가락본동
11240660,가락1동,가락1동
11240670,가락2동,가락2동
11240680,문정1동,문정1동
11240690,문정2동,문정2동
11240710,잠실본동,잠실본동
11240750,잠실4동,잠실4동
11240770,잠실6동,잠실6동
11240780,잠실7동,잠실7동
11240790,잠실2동,잠실2동
11240800,잠실3동,잠실3동
11240810,장지동,장지동
11240820,위례동,위례동
11250530,명일1동,명일1동
11250540,명일2동,명일2동
11250550,고덕1동,고덕1동
11250560,고덕2동,고덕2동
11250580,암사2동,암사2동
11250590,암사3동,암사3동
11250610,천호1동,천호1동
11250630,천호3동,천호3동
11250650,성내1동,성내1동
11250660,성내2동,성내2동
11250670,성내3동,성내3동
11250700,둔촌1동,둔촌1동
11250710,둔촌2동,둔촌2동
11250720,암사1동,암사1동
11250730,천호2동,천호2동
11250740,길동,길동
11250750,강일동,강일동
11250760,상일1동,상일1동
11250770,상일2동,상일2동
